video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=VRqaZsl3lFE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@mustangs-warriors-siouxx2l719,Mustangs-Warriors-SiouxX2 Live,STANDING ROCK WARRIORS VS DUNSEITH DRAGONS DOUBLE HEADER,1K,Streamed 2 weeks,"for today this link will remain LIVE, pausing between games for the warm up session , please share and join us in the comment ...",2026-01-20 19:16:36.910168
/watch?v=rDzFZ4BTx9U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ndgnf,North Dakota Game and Fish Department,Standing Rock Elk - NDGNF,4.6K,9 years,"The Standing Rock Sioux Tribe, UND and the North Dakota Game and Fish Department are partnering in a study of the Sioux ...",2026-01-20 19:16:36.911214
/watch?v=Sb9QF1Uu4n8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@shocksanddocs,SHOCKS & DOCS,BEYOND STANDING ROCK | FULL DOCUMENTARY | SHOCKS AND DOCS,2K,9 months,BEYOND STANDING ROCK | FULL DOCUMENTARY | SHOCKS AND DOCS Beyond Standing Rock shines a spotlight on tribal ...,2026-01-20 19:16:36.912304
/watch?v=X9shMUkqQkk&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@mustangs-warriors-siouxx2l719,Mustangs-Warriors-SiouxX2 Live,STANDING ROCK WARRIORS VS CHEYENNE EAGLE BUTTE LADY BRAVES,1.5K,Streamed 2 weeks,Please share and join us in the comment section Here is the KLND SPORTS live broadcast of all your basketball action (be sure ...,2026-01-20 19:16:36.913252
/watch?v=4d6qwzO0C4k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@FoxNews,Fox News,Veterans to stand with Standing Rock protesters,38K,9 years,"Hundreds of veterans of the US Military are deploying to the Standing Rock Indian Reservation in North Dakota, joining protests ...",2026-01-20 19:16:36.914581
/watch?v=AeUIyI83b7g&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@LauraFlandersAndFriends,Laura Flanders & Friends,RISE With Standing Rock,37K,9 years,"There's a revolution happening in Standing Rock, at the Očhéthi Šakówiŋ camp, and across the country. Over 200 indigenous ...",2026-01-20 19:16:36.915517
/watch?v=Vr2zE69jIcQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Standing Rock and Sioux Nation,11K,9 years,The outcome of the Dakota Access pipeline protests will affect the Sioux Nation the most Click here for the full story: ...,2026-01-20 19:16:36.916965
/watch?v=TVN8cCMlxOE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Standing Rock Sioux Tribe Takes Pipeline Fight To U.N. | NBC News,5.4K,9 years,Standing Rock Chairman Dave Archambault II told the U.N. Human Rights Council that the controversial Dakota Access Pipeline ...,2026-01-20 19:16:36.917983
/watch?v=XvhEBZVi8ew&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Arrests At Standing Rock As Protesters’ Eviction Deadline Passes | NBC Nightly News,2.2K,8 years,The “water protectors” protesting the Dakota Access pipeline were ordered by law enforcement to leave their Standing Rock Sioux ...,2026-01-20 19:16:36.919011
/watch?v=RX-3jdXa46U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,Standing Rock and the Battle Beyond | Fault Lines,55K,9 years,"For months, Native Americans have been protesting against the Dakota Access oil pipeline, a multibillion-dollar construction ...",2026-01-20 19:16:36.920395
/watch?v=mVlx_32dKuU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KFYR-TV,KFYR-TV,Dakota Governors meet with Standing Rock Sioux Tribe,341,9 months,Dakota Governors meet with Standing Rock Sioux Tribe For more Local News from KFYR: https://www.kfyrtv.com/ For more ...,2026-01-20 19:16:36.921483
/watch?v=9PxgcUfY7LE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Report from Standing Rock: 100+ Militarized Police Deployed Against Native American Water Protectors,58K,9 years,"http://democracynow.org - On Saturday, hundreds of people temporarily stopped work at multiple construction sites at the site of ...",2026-01-20 19:16:36.922737
/watch?v=qJZ1-LAFOTo&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@Vox,Vox,"The fight over the Dakota Access Pipeline, explained",475K,9 years,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2026-01-20 19:16:36.923815
